Model,MSE,RMSE,MAE,R2,SKU,Percent Change,Difference
Least Squares Regression,0.0655215554680187,0.25597178646878,0.09725965858041326,0.012136548328333219,0004873-S,,
Linear Regression,1.1733704002333598,1.083222230307964,0.46794564826864576,-0.01649811557328973,0004874-S,,
Exponential Smoothing w/ Trend & Seasonality,1.1229176425120606,1.0596780843784874,0.47903902390966946,0.030867987177764844,0004878-S,,
Linear Smoothing,0.39000065047171695,0.6245003206337983,0.4752623664743009,-0.19704579214129136,0004885-S,,
Linear Smoothing,1.4034944091434447,1.1846916937091458,0.8335067640327316,-0.001109704240173981,0004888-S,,
Linear Smoothing,0.7601999795204657,0.8718944772852193,0.5822222210794981,-0.00026313094798124936,0004903-S,,
Moving Average,0.2697649572649573,0.5193890230501192,0.467948717948718,-0.5071166207529847,0004906-S,,
Linear Regression,0.18205907023741266,0.4266838059235582,0.3748583286774683,-0.011828294204081713,0004915-S,,
Linear Smoothing,1.9964509525075893,1.4129582274460875,0.7146034766383628,-0.013160708619276873,0004916-S,,
Second Degree Approximation,0.1657343112501145,0.40710479148508494,0.20918075209313072,-0.007280507129987512,0004924-S,,
Exponential Smoothing w/ Trend & Seasonality,0.3800466160165313,0.6164792097196233,0.4020889736155956,0.1270405749553164,0004926-S,,
Exponential Smoothing w/ Trend & Seasonality,0.388780016270996,0.6235222660587159,0.31144576782423006,0.05892286293362903,0004929-S,,
Linear Regression,4.580761902439214,2.1402714553157067,1.1510529057109216,-0.02807567038193115,0004931-S,,
Weighted Moving Average,0.38223140495867763,0.6182486594879747,0.4035812672176308,-0.005434782608695343,0004933-S,,
Linear Smoothing,0.2630974264701261,0.5129302354805437,0.31985294116044805,-0.0004625822350845521,0004937-S,,
Linear Smoothing,0.3164062496205188,0.5624999996626834,0.44531249810259377,-0.012499998785659994,0004938-S,,
Linear Smoothing,3.3127939627488607,1.8201082283064545,1.625468584119971,-0.02092392562700751,0004957-S,,
Weighted Moving Average,0.41648542844715086,0.6453568225773637,0.4473684210526317,-0.0006738081159498588,0004963-S,,
Weighted Moving Average,0.5605461731943945,0.7486963157344869,0.48221343873517797,-0.0017869108778196807,0004964-S,,
Linear Regression,0.2555043341193978,0.5054743654424009,0.34771726982258305,-0.02657991387258063,0004967-S,,
Second Degree Approximation,3.2409020290043102,1.8002505461752567,0.9295516746530184,0.009150972024159931,0004971-S,,
Least Squares Regression,0.35909745034239915,0.5992474032838183,0.47569053428763813,-0.07952276997342378,0004976-S,,
Linear Regression,1.027036028571669,1.0134278605661426,0.5373878890138732,0.0002995311241548171,0004978-S,,
Moving Average,0.1111111111111111,0.3333333333333333,0.25000000000000006,-0.015873015873015817,0004982-S,,
Linear Regression,0.3890859961196353,0.6237675818120362,0.31053655824298015,-0.016811403192646734,0005000-S,,
Linear Smoothing,0.777181440420655,0.8815789473556268,0.7056786704653814,-0.002008928542344579,0005003-S,,
Weighted Moving Average,1.6549586776859502,1.2864519725531731,0.9204545454545454,-0.0015825567082818903,0005031-S,,
Linear Smoothing,0.30718957265996605,0.5542468517366301,0.4509804917385941,-0.03229984300849065,0005051-S,,
Weighted Moving Average,0.40054724145633236,0.632888016521353,0.39680589680589673,-0.0006371780177352182,0005053-S,,
Least Squares Regression,0.6699458691970315,0.8185022108687499,0.39039332887966943,-0.00033393990431940246,0005062-S,,
Linear Smoothing,0.4665872632404362,0.6830719312345049,0.578794511748196,-0.16133499018228448,0005073-S,,
Moving Average,0.13034188034188035,0.36102891898278777,0.2692307692307693,-0.0012626262626262985,0005074-S,,
Weighted Moving Average,0.11570247933884295,0.34015067152490375,0.31404958677685946,-0.3999999999999999,0005100-S,,
Linear Regression,3.6604439560439554,1.9132286732233434,1.118021978021978,-0.16468671328671314,0005109-S,,
Second Degree Approximation,0.023372716893180556,0.1528813817741734,0.09555616067253872,-0.16912277626096883,0005206-S,,
Linear Smoothing,1.2048611254807984,1.0976616625722146,0.8854166627476613,-0.04557440041723515,0005208-S,,
Moving Average,0.2847222222222222,0.5335936864527374,0.3888888888888889,-0.0027173913043476716,0005209-S,,
Moving Average,0.17592592592592593,0.41943524640393054,0.2685185185185185,-0.004405286343612147,0005210-S,,
Linear Smoothing,0.5726213238077226,0.7567174663027956,0.7282608879374698,-0.6168131495747462,0005274-S,,
Weighted Moving Average,0.8015873015873016,0.8953140798553889,0.5952380952380951,-0.0007077140835105578,0005276-S,,
Weighted Moving Average,0.05759466320963646,0.2399888814291955,0.15240641711229938,-0.04030360422405832,0005278-S,,
Moving Average,5.817777777777779,2.4120070020167392,1.2933333333333334,-0.043659905600204274,0005301-S,,
Least Squares Regression,0.930887688664081,0.964825211457537,0.7118923437472194,-0.004010342759699803,0005398-S,,
Linear Smoothing,0.7643080127463343,0.8742471119462359,0.6644120702409422,-0.003072721405567913,0005399-S,,
Weighted Moving Average,0.7395546372819102,0.859973625922278,0.5643939393939394,-0.0070531231072819,0005415-S,,
Linear Smoothing,5.752191386767092,2.3983726538565877,1.6090733402781774,-0.0006030723819390182,0005418-S,,
Linear Smoothing,2.4163191759583906,1.5544514067536466,1.3107088997404257,-0.08031201253166165,0005420-S,,
Moving Average,0.0,0.0,0.0,1.0,0007130-A,,
Least Squares Regression,0.002826044948540176,0.053160558203805344,0.044016563146997534,0.0,0007376-A,,
Moving Average,0.0,0.0,0.0,1.0,0010001-A,,
Moving Average,0.0,0.0,0.0,1.0,0010003-A,,
Moving Average,0.0,0.0,0.0,1.0,0010007-A,,
Moving Average,0.0,0.0,0.0,1.0,0010010-A,,
Moving Average,0.0,0.0,0.0,1.0,0010011-A,,
Moving Average,0.0,0.0,0.0,1.0,0010021-A,,
Moving Average,0.0273972602739726,0.1655211777204736,0.0273972602739726,0.0,0010022-A,,
Moving Average,0.0,0.0,0.0,1.0,0010025-A,,
Moving Average,0.0,0.0,0.0,1.0,0010026-A,,
Moving Average,0.0,0.0,0.0,1.0,0010033-A,,
Moving Average,0.0,0.0,0.0,1.0,0010034-A,,
Moving Average,0.0,0.0,0.0,1.0,0010037-S,,
Moving Average,0.0,0.0,0.0,1.0,0010040-S,,
Moving Average,0.0,0.0,0.0,1.0,0010044-A,,
Moving Average,0.0,0.0,0.0,1.0,0010045-A,,
Moving Average,0.0,0.0,0.0,1.0,0010050-A,,
Second Degree Approximation,0.5745875167839154,0.758015512231719,0.673039086492292,0.04500375174847282,0010054-A,,
Moving Average,0.0,0.0,0.0,1.0,0010059-S,,
Linear Smoothing,2.9978895387397295,1.731441462695095,1.2562597785671166,-0.05035545882851844,0010065-S,,
Moving Average,0.0,0.0,0.0,1.0,0010069-A,,
Moving Average,0.0,0.0,0.0,1.0,0010072-A,,
Linear Regression,0.0007519297043471211,0.027421336662298595,0.027410870835768483,0.0,0010074-A,,
Linear Smoothing,0.016068241762767704,0.12676056864328,0.12676056864328,0.0,0010080-A,,
Moving Average,0.0,0.0,0.0,1.0,0010085-A,,
Moving Average,0.0,0.0,0.0,1.0,0010089-A,,
Moving Average,0.0,0.0,0.0,1.0,0010095-A,,
Moving Average,0.0,0.0,0.0,1.0,0010096-A,,
Moving Average,0.0,0.0,0.0,1.0,0010098-A,,
Moving Average,0.0,0.0,0.0,1.0,0010099-A,,
Moving Average,0.0,0.0,0.0,1.0,0010102-S,,
Moving Average,0.0,0.0,0.0,1.0,0010108-S,,
Linear Smoothing,1.2523294067695507,1.1190752462500235,1.0391895489229335,-0.002907133254615113,0010113-S,,
Moving Average,0.0,0.0,0.0,1.0,0010118-A,,
Moving Average,0.0,0.0,0.0,1.0,0010122-A,,
Moving Average,0.0,0.0,0.0,1.0,0010123-A,,
Moving Average,0.0,0.0,0.0,1.0,0010124-A,,
Moving Average,0.0,0.0,0.0,1.0,0010129-S,,
Exponential Smoothing w/ Trend & Seasonality,0.5331236130516764,0.7301531435607714,0.4973691488158621,-0.036735026095135126,0010130-A,,
Moving Average,0.0,0.0,0.0,1.0,0010131-S,,
Moving Average,0.0,0.0,0.0,1.0,0010134-A,,
Moving Average,0.0,0.0,0.0,1.0,0010135-A,,
Moving Average,0.0,0.0,0.0,1.0,0010137-A,,
Moving Average,0.0,0.0,0.0,1.0,0010141-A,,
Least Squares Regression,0.09025022719780869,0.30041675585394484,0.16470985155195678,-0.002780302197874285,0010145-A,,
Moving Average,0.0,0.0,0.0,1.0,0010148-A,,
Moving Average,0.0,0.0,0.0,1.0,0010153-A,,
Moving Average,0.0,0.0,0.0,1.0,0010154-A,,
Linear Smoothing,2.8277777777951245,1.6815997674224163,1.3444444445311745,-0.00039308176714314413,0020326-S,,
Second Degree Approximation,1.7681733665071504,1.3297268014547765,1.0484652601697115,0.015249981524483314,0020344-S,,
Least Squares Regression,0.6172226540448333,0.7856351914500987,0.625498272178489,-0.023290189600644773,0020346-S,,
Linear Smoothing,1.7307128690251405,1.3155656080276423,1.0488281094924083,-0.2731680875587241,0020350-S,,
Second Degree Approximation,0.5607726469344733,0.748847545855946,0.685917822358806,-0.30487481305906305,0020351-S,,
Linear Regression,0.45846052645473784,0.6770971322157094,0.5765478424015009,-0.01880116989941749,0020369-F,,
Weighted Moving Average,0.6757116620752984,0.8220168259076565,0.6079889807162534,-0.004930077570195701,0020369-S,,
Linear Smoothing,1.497142856226782,1.2235778913607347,1.0857142854019874,-0.35851851768726495,0020376-F,,
Second Degree Approximation,3.358209032669335,1.8325416864751904,1.1943644462095195,-0.037065136183349834,0020376-S,,
Moving Average,5.353535353535355,2.313770808341949,2.0606060606060606,-0.03478878239261651,0020389-S,,
Moving Average,6.75,2.598076211353316,2.0,-0.026399155227032844,0020466-S,,
Weighted Moving Average,1.6163911845730026,1.2713737391392834,0.9159779614325069,-0.007008009153318229,0020956-S,,
Weighted Moving Average,0.42871900826446263,0.6547663768585423,0.6193181818181817,-0.3719008264462804,0020967-S,,
Second Degree Approximation,9.095718146798774,3.01591083203711,2.4273824986009127,0.1389092634906295,0020970-F,,
Moving Average,3.256427915518823,1.8045575400964147,0.8333333333333333,-0.0003642700610806404,0020970-S,,
Linear Regression,0.9266966445355617,0.9626508424842112,0.6399898645044263,-0.9098991820306088,0021000-S,,
Linear Smoothing,10.694444443780682,3.2702361449566117,2.277777779769068,-0.000288683540687229,0021010-S,,
Moving Average,2.1875,1.479019945774904,1.0972222222222223,-0.023096355106459576,0021072-S,,
Linear Smoothing,1.8976000462692737,1.3775340454120448,1.0971428782291146,-1.7347765372704242,0021410-F,,
Weighted Moving Average,2.6490709231350946,1.627596670903174,1.2433155080213905,-0.0020700219712597168,0021414-S,,
Weighted Moving Average,2.0158885505775457,1.4198199007541574,1.2416267942583732,-0.10935330298550916,0021416-S,,
Weighted Moving Average,1.4779614325068868,1.2157143712677279,0.9595959595959597,-0.0038983315141116748,0021427-S,,
Second Degree Approximation,4.551433378739051,2.1334088634715687,1.543165343697848,0.005453100852164883,0021444-S,,
Weighted Moving Average,2.3818938043536977,1.5433385255198218,1.1122994652406417,-0.0005338800264804711,0021526-F,,
Linear Smoothing,2.731094208992681,1.6526022537176577,1.1741898408565041,-0.0006472025537698212,0021526-S,,
Linear Smoothing,13.66222271198295,3.6962444064188924,2.930406282385417,-0.0299214044417917,0021527-S,,
Moving Average,7.805555555555556,2.793842435706702,2.4166666666666665,-0.25027808676307006,0021528-S,,
Linear Smoothing,4.276501079948051,2.0679702802381015,1.6417105466015314,-0.02466659539349325,0021585-S,,
Linear Smoothing,2.314977257970762,1.5215049319574228,1.2719298245683408,-0.006875650755958196,0021590-F,,
Linear Smoothing,3.252255163727849,1.803400999147957,1.524064170037205,-0.1632447305907776,0021590-S,,
Second Degree Approximation,20.73031417968536,4.553055477334464,3.763043333038046,-0.3290679424760343,0022851-S,,
Least Squares Regression,2.294118496604529,1.5146347733379586,1.0214844623295325,0.011576605186346622,0022930-S,,
Linear Regression,6.3459310534844615,2.5191131482099927,1.9460892630607776,0.005166704731577099,0022942-S,,
Linear Smoothing,3.979393954584246,1.9948418369846381,1.7151515307885887,-0.00267469147206012,0022955-S,,
Linear Regression,0.1278549450549451,0.35756809848607174,0.2219780219780217,-0.04414871794871811,0022960-F,,
Second Degree Approximation,8.073378393476856,2.841369105462516,2.0312868877563957,0.037256312297938465,0023130-S,,
Linear Regression,3.273033092657181,1.809152589655494,1.4478498264463193,-0.0008832834282581636,0023160-S,,
Linear Smoothing,1.692043543364079,1.300785740759822,0.9532966994260441,-0.02043241384418315,0023165-S,,
Linear Regression,6.059949512038904,2.4616964703307564,1.641281988529695,-0.005928523700720056,0023305-S,,
Least Squares Regression,0.5375358487068683,0.7331683631382824,0.5223202374145771,-0.04313887471827904,0023307-S,,
Second Degree Approximation,1.694144999256996,1.3015932541531536,1.0432650099801994,-0.042843751790839546,0023328-S,,
Second Degree Approximation,2.569880481043304,1.6030846768163258,1.1031258566058648,-0.0015795693178843884,0023330-S,,
Weighted Moving Average,0.935766758494031,0.967350380417577,0.8575757575757574,-1.0794816855422913,0023768-S,,
Linear Smoothing,6.838962765270767,2.6151410603007186,2.3690721798999186,-0.06698745089721148,0023920-S,,
Linear Regression,0.6331945683665612,0.7957352376051731,0.7204726994200678,0.025854510205290504,0023970-F,,
Moving Average,0.11984767025089607,0.34619022263908045,0.19354838709677413,-0.0015096618357488545,0023970-S,,
Exponential Smoothing w/ Trend & Seasonality,4.3405453324372365,2.083397545462036,1.644496188787482,0.4551805132521727,0023980-F,,
Weighted Moving Average,2.8191080079794815,1.6790199546102724,0.6473354231974924,-0.0006836909193812524,0023980-S,,
Second Degree Approximation,10.355854518103195,3.218051354174323,2.2951975987710536,0.00865633173220981,0023981-S,,
Moving Average,3.960227272727273,1.9900319778152493,1.2613636363636365,0.0,0023984-S,,
Least Squares Regression,0.6947243900792379,0.8335012837897959,0.7158334102871922,0.021596483971739855,0023985-S,,
Exponential Smoothing w/ Trend & Seasonality,6.715137090594321,2.5913581555999396,1.6075986112377394,0.15023475274733256,0024134-S,,
Weighted Moving Average,0.9128969117007393,0.955456389219696,0.8732057416267942,-0.1940426997245175,0024319-F,,
Linear Regression,2.3049662188588913,1.5182115198018,1.2927683615819205,-0.01689686126127543,0024319-S,,
Exponential Smoothing w/ Trend & Seasonality,1.1984560028594482,1.0947401531228533,0.6429572050387232,0.1187823508386413,0024328-S,,
Weighted Moving Average,2.539682539682539,1.5936381457791913,1.238095238095238,-0.0035842293906809264,0024329-S,,
Linear Regression,1.457932727049369,1.2074488506969432,1.1556899641577059,-2.2803486358610803,0024330-S,,
Linear Smoothing,2.8931191792567867,1.700917158258093,1.3681765404320534,-0.0014643312811952747,0024332-F,,
Least Squares Regression,1.993946179985083,1.4120715916642057,1.2266379573517279,-0.0253768817302209,0024340-F,,
Weighted Moving Average,5.0057392102846645,2.237350935880347,1.5075757575757573,-0.0011478420569326353,0024340-S,,
Weighted Moving Average,1.5245966155057065,1.2347455671132035,0.9956709956709959,-0.03438016528925658,0024346-F,,
Linear Smoothing,6.833088176756077,2.614017631301686,1.5767852439294883,-0.0003020404740243787,0024346-S,,
Weighted Moving Average,2.2563572790845514,1.5021175982873483,1.1759906759906757,-0.26173508142926605,0024380-S,,
Moving Average,2.923611111111111,1.7098570440569325,1.4375,-0.007327650665470253,0024383-S,,
Linear Smoothing,1.3234002358788537,1.150391340318091,0.8883116881130052,-0.27776574498647943,0024395-S,,
Linear Smoothing,10.285280667657437,3.207067300144703,1.9451754339655003,-0.0669500922483719,0024404-S,,
Moving Average,7.763354700854701,2.786279724086349,2.1602564102564106,-0.12137345679012346,0024406-S,,
