,date,sales,sales_diff
20,2023-10-10 09:58:13,300,200.0
21,2023-10-10 09:59:19,100,-200.0
0,2023-10-10 10:05:41,100,0.0
1,2023-10-10 10:12:19,200,100.0
2,2023-10-10 10:14:49,100,-100.0
3,2023-10-10 10:18:28,100,0.0
4,2023-10-10 10:25:04,100,0.0
5,2023-10-10 10:28:36,200,100.0
6,2023-10-10 10:35:03,100,-100.0
7,2023-10-10 10:51:34,200,100.0
22,2023-10-11 08:01:53,200,0.0
23,2023-10-11 08:49:10,100,-100.0
24,2023-10-11 08:56:17,100,0.0
25,2023-10-12 12:22:25,100,0.0
27,2023-10-13 01:52:06,100,0.0
28,2023-10-13 01:59:19,100,0.0
29,2023-10-13 02:08:22,100,0.0
30,2023-10-13 02:27:47,100,0.0
31,2023-10-13 02:58:39,100,0.0
32,2023-10-13 05:25:51,100,0.0
33,2023-10-13 05:25:53,100,0.0
34,2023-10-13 05:25:59,200,100.0
35,2023-10-13 05:26:00,100,-100.0
36,2023-10-13 05:26:01,100,0.0
26,2023-10-13 11:24:50,100,0.0
41,2023-10-16 01:45:12,100,0.0
42,2023-10-16 01:49:01,100,0.0
43,2023-10-16 01:52:13,100,0.0
44,2023-10-16 02:39:07,100,0.0
45,2023-10-16 08:18:15,100,0.0
46,2023-10-16 09:40:38,100,0.0
37,2023-10-16 10:39:55,100,0.0
38,2023-10-16 11:18:01,100,0.0
39,2023-10-16 11:22:22,100,0.0
40,2023-10-16 11:39:03,100,0.0
62,2023-10-17 01:02:33,200,100.0
63,2023-10-17 01:15:59,100,-100.0
64,2023-10-17 01:19:23,100,0.0
65,2023-10-17 01:21:56,100,0.0
66,2023-10-17 01:23:15,100,0.0
67,2023-10-17 01:28:05,200,100.0
68,2023-10-17 01:30:55,100,-100.0
69,2023-10-17 01:33:00,100,0.0
70,2023-10-17 01:34:40,100,0.0
71,2023-10-17 01:44:00,300,200.0
72,2023-10-17 01:47:02,100,-200.0
73,2023-10-17 07:10:07,100,0.0
74,2023-10-17 07:36:52,100,0.0
75,2023-10-17 07:40:56,16,-84.0
76,2023-10-17 07:43:03,100,84.0
77,2023-10-17 07:45:38,12,-88.0
78,2023-10-17 07:47:01,100,88.0
79,2023-10-17 07:52:23,16,-84.0
80,2023-10-17 08:03:10,100,84.0
81,2023-10-17 08:13:45,100,0.0
82,2023-10-17 08:15:04,100,0.0
83,2023-10-17 08:23:24,100,0.0
84,2023-10-17 08:26:15,200,100.0
85,2023-10-17 08:30:04,100,-100.0
86,2023-10-17 08:35:24,100,0.0
87,2023-10-17 08:50:38,100,0.0
88,2023-10-17 08:52:15,100,0.0
89,2023-10-17 09:41:48,100,0.0
47,2023-10-17 10:15:17,100,0.0
48,2023-10-17 10:19:42,100,0.0
49,2023-10-17 10:34:29,100,0.0
50,2023-10-17 10:42:55,100,0.0
51,2023-10-17 10:48:35,100,0.0
52,2023-10-17 10:53:05,100,0.0
53,2023-10-17 10:57:53,200,100.0
54,2023-10-17 11:23:11,100,-100.0
55,2023-10-17 11:25:40,100,0.0
56,2023-10-17 12:06:02,100,0.0
57,2023-10-17 12:26:12,100,0.0
58,2023-10-17 12:49:27,100,0.0
59,2023-10-17 12:52:23,100,0.0
60,2023-10-17 12:56:58,100,0.0
61,2023-10-17 12:59:35,300,200.0
97,2023-10-18 07:10:24,100,-200.0
98,2023-10-18 07:25:05,200,100.0
99,2023-10-18 07:33:33,100,-100.0
100,2023-10-18 08:38:48,100,0.0
101,2023-10-18 09:29:25,100,0.0
102,2023-10-18 09:45:45,100,0.0
90,2023-10-18 10:19:13,100,0.0
91,2023-10-18 11:03:44,100,0.0
92,2023-10-18 11:34:37,100,0.0
93,2023-10-18 11:52:00,100,0.0
94,2023-10-18 12:40:59,100,0.0
95,2023-10-18 12:51:32,100,0.0
96,2023-10-18 12:56:36,35,-65.0
108,2023-10-19 01:51:05,100,65.0
109,2023-10-19 01:54:38,200,100.0
110,2023-10-19 01:58:35,100,-100.0
111,2023-10-19 02:01:07,200,100.0
112,2023-10-19 02:01:45,100,-100.0
113,2023-10-19 02:06:42,72,-28.0
114,2023-10-19 02:20:42,100,28.0
115,2023-10-19 02:22:19,100,0.0
116,2023-10-19 02:29:36,100,0.0
117,2023-10-19 02:32:51,100,0.0
118,2023-10-19 02:58:23,100,0.0
119,2023-10-19 03:01:55,80,-20.0
120,2023-10-19 06:59:12,100,20.0
121,2023-10-19 07:03:37,100,0.0
122,2023-10-19 07:08:51,100,0.0
123,2023-10-19 07:14:51,100,0.0
124,2023-10-19 07:20:38,100,0.0
125,2023-10-19 07:44:34,100,0.0
126,2023-10-19 07:48:46,100,0.0
127,2023-10-19 09:47:13,200,100.0
103,2023-10-19 10:20:14,100,-100.0
104,2023-10-19 10:59:22,100,0.0
105,2023-10-19 11:31:15,55,-45.0
106,2023-10-19 11:53:37,80,25.0
107,2023-10-19 12:28:32,100,20.0
134,2023-10-20 01:29:23,15,-85.0
135,2023-10-20 02:18:17,72,57.0
136,2023-10-20 02:23:43,200,128.0
137,2023-10-20 07:17:55,100,-100.0
138,2023-10-20 07:34:32,72,-28.0
139,2023-10-20 07:41:36,100,28.0
140,2023-10-20 07:51:12,16,-84.0
141,2023-10-20 08:24:32,72,56.0
142,2023-10-20 08:25:22,100,28.0
143,2023-10-20 08:25:34,100,0.0
144,2023-10-20 08:38:21,100,0.0
145,2023-10-20 08:50:09,300,200.0
146,2023-10-20 08:52:53,498,198.0
128,2023-10-20 10:22:09,180,-318.0
129,2023-10-20 10:45:16,100,-80.0
130,2023-10-20 10:53:32,100,0.0
131,2023-10-20 10:54:34,30,-70.0
132,2023-10-20 10:56:01,55,25.0
133,2023-10-20 12:19:09,1,-54.0
152,2023-10-21 09:35:01,112,111.0
147,2023-10-21 10:40:52,100,-12.0
148,2023-10-21 11:00:41,35,-65.0
149,2023-10-21 11:10:38,35,0.0
150,2023-10-21 11:27:12,55,20.0
151,2023-10-21 11:41:36,10,-45.0
170,2023-10-23 01:19:28,72,62.0
171,2023-10-23 01:19:35,100,28.0
172,2023-10-23 01:24:40,100,0.0
173,2023-10-23 01:41:00,100,0.0
174,2023-10-23 01:44:04,100,0.0
175,2023-10-23 01:51:10,100,0.0
176,2023-10-23 01:56:01,100,0.0
177,2023-10-23 01:57:55,100,0.0
178,2023-10-23 01:58:00,100,0.0
179,2023-10-23 01:59:48,100,0.0
180,2023-10-23 01:59:50,100,0.0
181,2023-10-23 02:05:28,100,0.0
182,2023-10-23 02:08:33,100,0.0
183,2023-10-23 02:08:40,100,0.0
184,2023-10-23 02:12:40,100,0.0
185,2023-10-23 02:13:10,100,0.0
186,2023-10-23 02:13:32,100,0.0
187,2023-10-23 02:20:29,200,100.0
188,2023-10-23 02:21:45,200,0.0
189,2023-10-23 02:28:21,100,-100.0
190,2023-10-23 02:29:29,100,0.0
191,2023-10-23 02:51:26,2,-98.0
192,2023-10-23 07:12:03,32,30.0
193,2023-10-23 07:13:07,300,268.0
194,2023-10-23 07:27:20,100,-200.0
195,2023-10-23 07:54:18,88,-12.0
196,2023-10-23 08:41:40,100,12.0
197,2023-10-23 09:50:30,100,0.0
198,2023-10-23 09:52:32,100,0.0
153,2023-10-23 10:22:18,100,0.0
154,2023-10-23 10:32:10,100,0.0
155,2023-10-23 10:35:16,100,0.0
156,2023-10-23 10:54:52,100,0.0
157,2023-10-23 11:02:36,100,0.0
158,2023-10-23 11:08:17,48,-52.0
159,2023-10-23 11:08:22,100,52.0
160,2023-10-23 11:20:39,100,0.0
161,2023-10-23 11:26:59,13,-87.0
162,2023-10-23 11:27:02,4,-9.0
163,2023-10-23 11:33:00,100,96.0
164,2023-10-23 11:45:00,100,0.0
165,2023-10-23 11:54:46,100,0.0
166,2023-10-23 11:58:18,100,0.0
167,2023-10-23 11:58:40,100,0.0
168,2023-10-23 11:58:55,100,0.0
169,2023-10-23 12:56:38,100,0.0
212,2023-10-24 01:12:25,100,0.0
213,2023-10-24 01:13:14,100,0.0
214,2023-10-24 01:16:20,100,0.0
215,2023-10-24 01:29:28,100,0.0
216,2023-10-24 01:32:02,100,0.0
217,2023-10-24 01:32:16,100,0.0
218,2023-10-24 01:32:27,28,-72.0
219,2023-10-24 01:35:53,100,72.0
220,2023-10-24 01:40:01,100,0.0
221,2023-10-24 01:42:20,64,-36.0
222,2023-10-24 01:56:55,45,-19.0
223,2023-10-24 01:57:38,55,10.0
224,2023-10-24 01:57:57,100,45.0
225,2023-10-24 01:59:30,100,0.0
226,2023-10-24 02:11:54,499,399.0
227,2023-10-24 02:11:56,1,-498.0
228,2023-10-24 02:19:58,100,99.0
229,2023-10-24 02:20:37,47,-53.0
230,2023-10-24 02:21:36,100,53.0
231,2023-10-24 02:32:14,100,0.0
232,2023-10-24 02:39:18,36,-64.0
233,2023-10-24 02:40:06,100,64.0
234,2023-10-24 02:44:03,98,-2.0
235,2023-10-24 02:49:02,100,2.0
236,2023-10-24 02:49:08,100,0.0
237,2023-10-24 02:49:59,100,0.0
238,2023-10-24 02:50:04,100,0.0
239,2023-10-24 02:53:12,100,0.0
240,2023-10-24 02:53:46,100,0.0
241,2023-10-24 03:01:00,100,0.0
242,2023-10-24 03:04:10,100,0.0
243,2023-10-24 03:04:48,100,0.0
244,2023-10-24 03:07:19,100,0.0
245,2023-10-24 03:07:36,100,0.0
246,2023-10-24 03:07:38,100,0.0
247,2023-10-24 03:07:43,100,0.0
248,2023-10-24 03:08:12,100,0.0
249,2023-10-24 03:16:03,12,-88.0
