,Sku,Created,Quantity
122,0043121-X,10/26/2023 4:02:44 PM,12
123,0043121-X,10/27/2023 12:38:14 PM,24
124,0043121-X,10/27/2023 2:16:26 PM,36
125,0043121-X,10/27/2023 2:29:10 PM,24
126,0043121-X,10/27/2023 2:33:57 PM,24
127,0043121-X,10/27/2023 2:34:01 PM,36
128,0043121-X,10/27/2023 2:35:46 PM,36
129,0043121-X,10/30/2023 12:17:14 PM,24
130,0043121-X,10/30/2023 1:31:48 PM,12
131,0043121-X,10/30/2023 1:32:27 PM,12
132,0043121-X,10/30/2023 1:32:34 PM,24
133,0043121-X,10/30/2023 1:35:24 PM,24
134,0043121-X,10/30/2023 1:40:15 PM,60
135,0043121-X,10/30/2023 1:51:30 PM,24
136,0043121-X,10/30/2023 1:57:28 PM,12
137,0043121-X,10/30/2023 1:57:59 PM,12
138,0043121-X,10/30/2023 2:10:17 PM,24
139,0043121-X,10/30/2023 2:10:58 PM,12
140,0043121-X,10/30/2023 2:18:46 PM,60
141,0043121-X,10/30/2023 2:26:55 PM,24
142,0043121-X,10/30/2023 2:28:06 PM,60
143,0043121-X,10/30/2023 2:28:10 PM,24
144,0043121-X,10/30/2023 2:40:19 PM,36
145,0043121-X,10/30/2023 2:40:28 PM,12
146,0043121-X,10/30/2023 2:40:49 PM,48
147,0043121-X,10/30/2023 2:40:53 PM,24
148,0043121-X,10/30/2023 2:40:54 PM,24
149,0043121-X,10/30/2023 2:44:36 PM,24
150,0043121-X,10/30/2023 2:47:00 PM,24
151,0043121-X,10/30/2023 2:49:09 PM,48
152,0043121-X,10/30/2023 2:50:24 PM,24
153,0043121-X,10/30/2023 2:59:25 PM,12
154,0043121-X,10/30/2023 2:59:30 PM,24
155,0043121-X,10/30/2023 2:59:43 PM,24
156,0043121-X,10/30/2023 2:59:49 PM,24
157,0043121-X,10/30/2023 3:04:37 PM,24
158,0043121-X,10/30/2023 3:04:38 PM,24
159,0043121-X,10/30/2023 3:06:03 PM,24
160,0043121-X,10/30/2023 3:06:05 PM,48
161,0043121-X,10/30/2023 3:06:20 PM,12
162,0043121-X,10/30/2023 3:09:24 PM,12
163,0043121-X,10/30/2023 3:10:25 PM,24
164,0043121-X,10/30/2023 3:11:34 PM,12
165,0043121-X,10/30/2023 3:13:05 PM,12
166,0043121-X,10/30/2023 3:14:28 PM,24
167,0043121-X,10/30/2023 3:14:48 PM,24
168,0043121-X,10/30/2023 3:15:34 PM,24
169,0043121-X,10/30/2023 3:20:22 PM,24
170,0043121-X,10/30/2023 3:33:19 PM,60
171,0043121-X,10/30/2023 3:41:04 PM,12
172,0043121-X,10/30/2023 3:41:41 PM,12
173,0043121-X,10/30/2023 3:47:05 PM,12
174,0043121-X,10/30/2023 5:26:32 PM,24
175,0043121-X,10/31/2023 11:54:25 AM,12
176,0043121-X,10/31/2023 12:14:43 PM,12
177,0043121-X,10/31/2023 12:47:45 PM,24
178,0043121-X,10/31/2023 12:49:11 PM,24
179,0043121-X,10/31/2023 12:52:53 PM,144
180,0043121-X,10/31/2023 12:53:08 PM,108
181,0043121-X,10/31/2023 12:57:36 PM,24
182,0043121-X,10/31/2023 1:40:38 PM,12
183,0043121-X,10/31/2023 1:40:41 PM,12
184,0043121-X,10/31/2023 1:40:54 PM,36
185,0043121-X,10/31/2023 1:40:56 PM,24
186,0043121-X,10/31/2023 1:41:00 PM,24
187,0043121-X,10/31/2023 1:46:33 PM,120
188,0043121-X,10/31/2023 1:48:45 PM,24
189,0043121-X,10/31/2023 1:59:22 PM,24
190,0043121-X,10/31/2023 1:59:28 PM,24
191,0043121-X,10/31/2023 2:14:16 PM,24
192,0043121-X,10/31/2023 2:19:08 PM,12
193,0043121-X,10/31/2023 2:19:45 PM,24
194,0043121-X,10/31/2023 2:34:05 PM,24
195,0043121-X,10/31/2023 2:34:20 PM,12
196,0043121-X,10/31/2023 2:34:24 PM,24
197,0043121-X,10/31/2023 2:46:26 PM,24
198,0043121-X,10/31/2023 2:49:29 PM,24
199,0043121-X,10/31/2023 2:49:33 PM,12
200,0043121-X,10/31/2023 2:57:35 PM,24
201,0043121-X,10/31/2023 2:59:05 PM,12
202,0043121-X,10/31/2023 2:59:11 PM,12
203,0043121-X,10/31/2023 3:01:11 PM,12
204,0043121-X,10/31/2023 3:01:41 PM,12
205,0043121-X,10/31/2023 3:04:24 PM,12
206,0043121-X,10/31/2023 3:06:16 PM,24
207,0043121-X,10/31/2023 3:08:08 PM,12
208,0043121-X,10/31/2023 3:08:13 PM,108
209,0043121-X,10/31/2023 3:14:27 PM,12
210,0043121-X,10/31/2023 3:16:57 PM,12
211,0043121-X,10/31/2023 3:17:04 PM,12
212,0043121-X,10/31/2023 3:25:26 PM,48
213,0043121-X,10/31/2023 3:38:30 PM,72
214,0043121-X,10/31/2023 3:43:41 PM,24
215,0043121-X,10/31/2023 3:43:43 PM,24
216,0043121-X,10/31/2023 5:08:29 PM,24
217,0043121-X,10/31/2023 5:24:11 PM,12
218,0043121-X,10/31/2023 5:30:00 PM,24
219,0043121-X,10/31/2023 5:53:23 PM,48
220,0043121-X,10/31/2023 6:05:02 PM,12
221,0043121-X,10/31/2023 6:07:51 PM,24
222,0043121-X,10/31/2023 6:07:49 PM,24
223,0043121-X,10/31/2023 6:07:54 PM,24
224,0043121-X,10/31/2023 6:11:26 PM,12
225,0043121-X,10/31/2023 6:12:07 PM,48
226,0043121-X,10/31/2023 6:35:35 PM,12
227,0043121-X,10/31/2023 6:35:33 PM,12
228,0043121-X,10/31/2023 6:35:35 PM,12
229,0043121-X,10/31/2023 6:37:00 PM,12
230,0043121-X,10/31/2023 6:45:12 PM,12
231,0043121-X,10/31/2023 6:45:19 PM,12
232,0043121-X,10/31/2023 6:45:25 PM,12
233,0043121-X,10/31/2023 6:45:48 PM,24
234,0043121-X,10/31/2023 6:48:20 PM,12
235,0043121-X,10/31/2023 6:48:19 PM,12
236,0043121-X,10/31/2023 6:49:00 PM,24
237,0043121-X,10/31/2023 6:51:12 PM,12
238,0043121-X,10/31/2023 6:51:54 PM,12
239,0043121-X,10/31/2023 6:59:13 PM,12
240,0043121-X,10/31/2023 7:01:57 PM,12
241,0043121-X,10/31/2023 7:03:17 PM,12
242,0043121-X,10/31/2023 7:05:11 PM,12
243,0043121-X,10/31/2023 7:05:36 PM,12
244,0043121-X,11/1/2023 12:33:40 PM,96
245,0043121-X,11/1/2023 12:37:50 PM,12
246,0043121-X,11/1/2023 12:48:29 PM,12
247,0043121-X,11/1/2023 12:49:30 PM,24
248,0043121-X,11/1/2023 12:53:09 PM,24
249,0043121-X,11/1/2023 1:00:03 PM,12
250,0043121-X,11/1/2023 1:00:06 PM,12
251,0043121-X,11/1/2023 1:01:28 PM,12
252,0043121-X,11/1/2023 1:04:21 PM,12
253,0043121-X,11/1/2023 1:04:24 PM,12
254,0043121-X,11/1/2023 1:34:13 PM,12
255,0043121-X,11/1/2023 1:40:13 PM,12
256,0043121-X,11/1/2023 1:40:26 PM,24
257,0043121-X,11/1/2023 1:40:27 PM,12
258,0043121-X,11/1/2023 1:40:31 PM,12
259,0043121-X,11/1/2023 1:41:09 PM,24
260,0043121-X,11/1/2023 1:41:18 PM,24
261,0043121-X,11/1/2023 1:41:22 PM,24
262,0043121-X,11/1/2023 1:41:31 PM,12
263,0043121-X,11/1/2023 1:41:37 PM,12
264,0043121-X,11/1/2023 1:41:40 PM,24
265,0043121-X,11/1/2023 1:41:44 PM,12
266,0043121-X,11/1/2023 1:41:53 PM,36
267,0043121-X,11/1/2023 1:41:59 PM,12
268,0043121-X,11/1/2023 1:42:56 PM,12
269,0043121-X,11/1/2023 1:43:00 PM,12
270,0043121-X,11/1/2023 1:43:14 PM,12
271,0043121-X,11/1/2023 1:43:23 PM,12
272,0043121-X,11/1/2023 1:43:32 PM,12
273,0043121-X,11/1/2023 1:45:38 PM,12
274,0043121-X,11/1/2023 1:53:22 PM,24
275,0043121-X,11/1/2023 1:53:50 PM,12
276,0043121-X,11/1/2023 1:54:08 PM,12
277,0043121-X,11/1/2023 1:54:43 PM,24
278,0043121-X,11/1/2023 1:54:49 PM,24
279,0043121-X,11/1/2023 1:54:51 PM,36
280,0043121-X,11/1/2023 1:55:09 PM,24
281,0043121-X,11/1/2023 1:55:25 PM,24
282,0043121-X,11/1/2023 1:55:29 PM,12
283,0043121-X,11/1/2023 1:55:30 PM,12
284,0043121-X,11/1/2023 1:55:53 PM,12
285,0043121-X,11/1/2023 1:56:41 PM,24
286,0043121-X,11/1/2023 1:57:19 PM,12
287,0043121-X,11/1/2023 1:57:47 PM,48
288,0043121-X,11/1/2023 1:58:23 PM,12
289,0043121-X,11/1/2023 1:58:26 PM,24
290,0043121-X,11/1/2023 1:58:55 PM,12
291,0043121-X,11/1/2023 1:58:57 PM,24
292,0043121-X,11/1/2023 1:58:59 PM,12
293,0043121-X,11/1/2023 1:59:58 PM,24
294,0043121-X,11/1/2023 2:00:05 PM,12
295,0043121-X,11/1/2023 2:00:06 PM,12
296,0043121-X,11/1/2023 2:00:07 PM,24
297,0043121-X,11/1/2023 2:00:08 PM,48
298,0043121-X,11/1/2023 2:00:16 PM,24
299,0043121-X,11/1/2023 2:00:16 PM,24
300,0043121-X,11/1/2023 2:00:27 PM,12
301,0043121-X,11/1/2023 2:00:29 PM,12
302,0043121-X,11/1/2023 2:08:15 PM,12
303,0043121-X,11/1/2023 2:08:17 PM,24
304,0043121-X,11/1/2023 2:08:28 PM,24
305,0043121-X,11/1/2023 2:08:43 PM,12
306,0043121-X,11/1/2023 2:08:59 PM,12
307,0043121-X,11/1/2023 2:09:34 PM,12
308,0043121-X,11/1/2023 2:09:41 PM,24
309,0043121-X,11/1/2023 2:09:42 PM,12
310,0043121-X,11/1/2023 2:09:55 PM,12
311,0043121-X,11/1/2023 2:10:23 PM,12
312,0043121-X,11/1/2023 2:10:30 PM,24
313,0043121-X,11/1/2023 2:10:59 PM,24
314,0043121-X,11/1/2023 2:12:28 PM,12
315,0043121-X,11/1/2023 2:12:35 PM,12
316,0043121-X,11/1/2023 2:12:54 PM,12
317,0043121-X,11/1/2023 2:22:08 PM,12
318,0043121-X,11/1/2023 2:22:10 PM,24
319,0043121-X,11/1/2023 2:23:14 PM,24
320,0043121-X,11/1/2023 2:23:55 PM,12
321,0043121-X,11/1/2023 2:23:59 PM,24
322,0043121-X,11/1/2023 2:25:53 PM,12
323,0043121-X,11/1/2023 2:25:57 PM,24
324,0043121-X,11/1/2023 2:26:54 PM,48
325,0043121-X,11/1/2023 2:27:07 PM,24
326,0043121-X,11/1/2023 2:28:27 PM,12
327,0043121-X,11/1/2023 2:29:00 PM,24
328,0043121-X,11/1/2023 2:29:40 PM,12
329,0043121-X,11/1/2023 2:31:28 PM,12
330,0043121-X,11/1/2023 2:31:33 PM,24
331,0043121-X,11/1/2023 2:31:42 PM,12
332,0043121-X,11/1/2023 2:33:02 PM,24
333,0043121-X,11/1/2023 2:33:09 PM,24
334,0043121-X,11/1/2023 2:36:13 PM,12
335,0043121-X,11/1/2023 2:36:18 PM,36
336,0043121-X,11/1/2023 2:38:41 PM,12
337,0043121-X,11/1/2023 2:38:53 PM,12
338,0043121-X,11/1/2023 2:39:50 PM,24
339,0043121-X,11/1/2023 2:40:00 PM,12
340,0043121-X,11/1/2023 2:42:00 PM,24
341,0043121-X,11/1/2023 2:42:02 PM,12
342,0043121-X,11/1/2023 2:42:30 PM,12
343,0043121-X,11/1/2023 2:42:31 PM,24
344,0043121-X,11/1/2023 2:42:39 PM,24
345,0043121-X,11/1/2023 2:43:11 PM,24
346,0043121-X,11/1/2023 2:43:13 PM,24
347,0043121-X,11/1/2023 2:44:13 PM,24
348,0043121-X,11/1/2023 2:44:19 PM,24
349,0043121-X,11/1/2023 2:44:29 PM,12
350,0043121-X,11/1/2023 2:54:34 PM,12
351,0043121-X,11/1/2023 2:54:38 PM,12
352,0043121-X,11/1/2023 2:54:39 PM,12
353,0043121-X,11/1/2023 2:55:02 PM,12
354,0043121-X,11/1/2023 2:56:09 PM,24
355,0043121-X,11/1/2023 2:56:21 PM,48
356,0043121-X,11/1/2023 2:56:22 PM,12
357,0043121-X,11/1/2023 2:56:24 PM,12
358,0043121-X,11/1/2023 2:56:28 PM,24
359,0043121-X,11/1/2023 2:56:39 PM,12
360,0043121-X,11/1/2023 2:56:44 PM,12
361,0043121-X,11/1/2023 3:03:04 PM,12
362,0043121-X,11/1/2023 3:06:12 PM,24
363,0043121-X,11/1/2023 3:09:17 PM,12
364,0043121-X,11/1/2023 3:09:26 PM,12
365,0043121-X,11/1/2023 3:09:30 PM,12
366,0043121-X,11/1/2023 3:09:32 PM,12
367,0043121-X,11/1/2023 3:09:35 PM,12
368,0043121-X,11/1/2023 3:09:42 PM,24
369,0043121-X,11/1/2023 3:09:42 PM,12
370,0043121-X,11/1/2023 3:09:43 PM,24
371,0043121-X,11/1/2023 3:09:45 PM,12
372,0043121-X,11/1/2023 3:10:08 PM,24
373,0043121-X,11/1/2023 3:10:09 PM,36
374,0043121-X,11/1/2023 3:10:13 PM,24
375,0043121-X,11/1/2023 3:11:17 PM,12
376,0043121-X,11/1/2023 3:11:19 PM,12
377,0043121-X,11/1/2023 3:11:58 PM,24
378,0043121-X,11/1/2023 3:13:07 PM,12
379,0043121-X,11/1/2023 3:13:11 PM,24
380,0043121-X,11/1/2023 3:13:25 PM,12
381,0043121-X,11/1/2023 3:17:24 PM,12
382,0043121-X,11/1/2023 3:19:04 PM,12
383,0043121-X,11/1/2023 3:20:46 PM,12
384,0043121-X,11/1/2023 3:20:55 PM,12
385,0043121-X,11/1/2023 3:22:32 PM,12
386,0043121-X,11/1/2023 3:24:44 PM,12
387,0043121-X,11/1/2023 3:28:24 PM,12
388,0043121-X,11/1/2023 3:29:28 PM,12
389,0043121-X,11/1/2023 3:31:09 PM,12
390,0043121-X,11/1/2023 3:36:31 PM,24
391,0043121-X,11/1/2023 3:36:55 PM,12
392,0043121-X,11/1/2023 3:36:57 PM,12
393,0043121-X,11/1/2023 3:39:50 PM,24
394,0043121-X,11/1/2023 3:40:00 PM,12
395,0043121-X,11/1/2023 3:45:47 PM,12
396,0043121-X,11/1/2023 3:46:48 PM,12
397,0043121-X,11/1/2023 3:47:39 PM,12
398,0043121-X,11/1/2023 3:48:14 PM,24
399,0043121-X,11/1/2023 3:51:38 PM,12
400,0043121-X,11/1/2023 3:52:04 PM,12
401,0043121-X,11/1/2023 3:53:18 PM,12
