date,sales_diff
2023-10-06 01:51:38,0.0
2023-10-06 02:05:46,0.0
2023-10-06 02:22:51,200.0
2023-10-07 01:00:08,-200.0
2023-10-07 01:10:06,0.0
2023-10-07 01:24:59,0.0
2023-10-07 01:25:25,0.0
2023-10-07 01:47:29,0.0
2023-10-07 01:51:26,100.0
2023-10-07 01:53:35,-100.0
2023-10-07 01:54:11,0.0
2023-10-07 02:00:34,0.0
2023-10-07 02:02:01,0.0
2023-10-07 02:03:33,0.0
2023-10-07 02:05:04,100.0
2023-10-07 02:05:17,-100.0
2023-10-07 02:08:34,0.0
2023-10-07 02:11:44,0.0
2023-10-07 02:12:12,0.0
2023-10-07 02:15:48,0.0
2023-10-07 02:16:09,0.0
2023-10-07 02:17:42,0.0
2023-10-07 02:19:10,0.0
2023-10-07 02:20:18,0.0
2023-10-07 02:21:37,0.0
2023-10-07 02:26:54,100.0
2023-10-07 02:27:34,100.0
2023-10-07 02:29:46,-200.0
2023-10-07 02:30:41,200.0
2023-10-07 02:30:57,-100.0
2023-10-07 02:32:39,0.0
2023-10-07 02:34:11,-100.0
2023-10-07 02:38:23,0.0
2023-10-07 02:42:55,0.0
2023-10-07 02:43:01,100.0
2023-10-07 02:50:41,-100.0
2023-10-07 02:51:11,0.0
2023-10-07 02:52:56,0.0
2023-10-07 02:56:16,0.0
2023-10-07 02:56:18,0.0
2023-10-07 02:57:26,0.0
2023-10-07 03:02:09,0.0
2023-10-07 07:50:27,0.0
2023-10-07 08:09:22,0.0
2023-10-07 08:21:10,0.0
2023-10-07 08:43:15,0.0
2023-10-07 08:57:44,0.0
2023-10-07 09:40:47,100.0
2023-10-07 09:56:30,0.0
2023-10-07 09:56:51,0.0
2023-10-07 09:59:31,-100.0
2023-10-07 10:08:16,0.0
2023-10-07 10:41:06,0.0
2023-10-07 11:01:57,200.0
2023-10-07 11:04:03,-200.0
2023-10-07 11:19:49,200.0
2023-10-07 11:31:24,-200.0
2023-10-07 11:34:54,100.0
2023-10-07 11:48:57,-100.0
2023-10-07 11:49:54,0.0
2023-10-07 11:55:34,0.0
2023-10-07 12:02:06,0.0
2023-10-07 12:28:15,0.0
2023-10-07 12:41:23,0.0
2023-10-07 12:53:57,0.0
2023-10-07 12:55:59,0.0
2023-10-07 12:57:23,0.0
2023-10-09 01:54:34,0.0
2023-10-09 07:12:33,0.0
2023-10-09 07:20:28,100.0
2023-10-09 07:23:36,-100.0
2023-10-09 07:26:30,0.0
2023-10-09 07:28:26,0.0
2023-10-09 07:30:24,0.0
2023-10-09 07:31:38,0.0
2023-10-09 07:33:07,0.0
2023-10-09 07:35:14,0.0
2023-10-09 07:37:25,200.0
2023-10-09 07:38:37,0.0
2023-10-09 07:38:45,-200.0
2023-10-09 07:39:50,0.0
2023-10-09 07:40:17,100.0
2023-10-09 07:42:27,-100.0
2023-10-09 07:44:23,200.0
2023-10-09 07:45:19,-200.0
2023-10-09 07:48:40,0.0
2023-10-09 07:55:18,0.0
2023-10-09 07:55:31,0.0
2023-10-09 07:56:49,0.0
2023-10-09 07:57:15,0.0
2023-10-09 08:01:51,200.0
2023-10-09 08:06:23,-200.0
2023-10-09 08:09:23,0.0
2023-10-09 08:11:46,0.0
2023-10-09 08:19:33,0.0
2023-10-09 08:20:44,0.0
2023-10-09 08:24:42,200.0
2023-10-09 08:27:20,-200.0
2023-10-09 08:29:13,0.0
2023-10-09 08:29:37,0.0
2023-10-09 08:33:57,200.0
2023-10-09 08:36:33,-200.0
2023-10-09 08:36:38,0.0
2023-10-09 08:58:02,100.0
2023-10-09 09:30:58,-100.0
2023-10-09 09:32:19,0.0
2023-10-09 10:11:24,0.0
2023-10-09 10:18:14,0.0
2023-10-09 10:19:50,0.0
2023-10-09 10:23:04,0.0
2023-10-09 10:25:14,0.0
2023-10-09 10:27:19,0.0
2023-10-09 10:27:55,0.0
2023-10-09 10:28:24,0.0
2023-10-09 10:30:13,0.0
2023-10-09 10:34:01,0.0
2023-10-09 11:18:07,0.0
2023-10-09 11:50:14,0.0
2023-10-09 12:57:53,0.0
2023-10-10 07:58:09,0.0
2023-10-10 08:33:30,0.0
2023-10-10 08:41:46,0.0
2023-10-10 08:57:19,0.0
2023-10-10 09:42:40,0.0
2023-10-10 09:43:29,0.0
2023-10-10 09:47:32,0.0
2023-10-10 09:54:18,100.0
2023-10-10 09:55:00,100.0
2023-10-10 09:55:48,-100.0
2023-10-10 09:56:37,-100.0
2023-10-10 09:57:23,0.0
2023-10-10 09:58:13,200.0
2023-10-10 09:59:19,-200.0
2023-10-10 10:05:41,0.0
2023-10-10 10:12:19,100.0
2023-10-10 10:14:49,-100.0
2023-10-10 10:18:28,0.0
2023-10-10 10:25:04,0.0
2023-10-10 10:28:36,100.0
2023-10-10 10:35:03,-100.0
2023-10-10 10:51:34,100.0
2023-10-11 08:01:53,0.0
2023-10-11 08:49:10,-100.0
2023-10-11 08:56:17,0.0
2023-10-12 12:22:25,0.0
2023-10-13 01:52:06,0.0
2023-10-13 01:59:19,0.0
2023-10-13 02:08:22,0.0
2023-10-13 02:27:47,0.0
2023-10-13 02:58:39,0.0
2023-10-13 05:25:51,0.0
2023-10-13 05:25:53,0.0
2023-10-13 05:25:59,100.0
2023-10-13 05:26:00,-100.0
2023-10-13 05:26:01,0.0
2023-10-13 11:24:50,0.0
